position,book_draft,director,duration
564,Margaret Mitchell,Victor Fleming,212
565,,Woody Allen,103
566,Elmore Leonard,Martin Ritt,111
567,,Billy Wilder,115
568,,Ingmar Bergman,87
569,,Akira Kurosawa,139
570,Lev Nikolajevič Tolstoj,Sergej Bondarčuk,96
571,Hua Yu,Yimou Zhang,125
572,,Václav Vorlíček,96
573,Ian McEwan,Joe Wright,123
574,Stieg Larsson,Niels Arden Oplev,146
575,,Paul Thomas Anderson,188
576,Karl May,Harald Reinl,89
577,,Giuseppe Tornatore,124
578,,Luc Besson,132
579,,Ingmar Bergman,85
580,,Hal Ashby,126
581,Klaus Mann,István Szabó,154
582,Nobuhiro Wacuki,Kazuhiro Furuhaši,120
583,,Luis Buñuel,80
584,,Guy Nattiv,105
585,J. K. Rowling,David Yates,125
586,,Rian Johnson,131
587,Kai Bird,Christopher Nolan,180
588,R.J. Palacio,Stephen Chbosky,113
589,,Jošiaki Kawadžiri,102
590,Jan Procházka,Karel Kachyňa,85
591,Dušan Kovačevič,Emir Kusturica,163
592,John Steinbeck,Elia Kazan,115
593,,Herbert Ross,85
594,,Bob Fosse,124
595,Alfréd Technik,František Vláčil,87
596,,Agnieszka Holland,112
597,Sang-yeon Park,Chan-wook Park,110
598,Henry Farrell,Robert Aldrich,134
599,,Anand Tucker,121
600,László Krasznahorkai,Béla Tarr,439
601,William Steig,Conrad Vernon,93
602,Andy Weir,Ridley Scott,144
603,,James Wan,99
604,,Steven Spielberg,115
605,Dennis Lehane,Ben Affleck,114
606,Pierre Souvestre,André Hunebelle,94
607,,Andrew Niccol,106
608,,Paolo Genovese,93
609,,Miloš Forman,77
610,,Anders Thomas Jensen,94
611,,Kimberly Peirce,114
612,,John Schlesinger,113
613,Nikos Kazantzakis,Martin Scorsese,164
614,,Danis Tanović,98
615,Karel Čapek,Otakar Vávra,97
616,,Wim Wenders,127
617,Kazuo Ishiguro,James Ivory,134
618,,Federico Fellini,123
619,John Ball,Norman Jewison,105
620,,Jean-Paul Rappeneau,137
621,,Krzysztof Kieślowski,84
622,,Ingmar Bergman,99
623,Šúhei Fudžisawa,Jódži Jamada,129
624,,Billy Wilder,120
625,Vladimír Valenta,Jiří Krejčík,101
626,Joe David Brown,Peter Bogdanovich,102
627,Victor Hugo,Robert Hossein,4
628,,Lidija Bobrova,97
629,Hans Christian Andersen,Michael Powell,133
630,,Tae-gyoon Kim,105
631,,Mervyn LeRoy,92
632,,Arnold Fanck,139
633,,Steven Spielberg,118
634,,Ivan Reitman,107
635,Nicholas Sparks,Nick Cassavetes,123
636,,Desmond Davis,118
637,Chesley Sullenberger,Clint Eastwood,96
638,,Richard Donner,127
639,,Michael Cimino,183
640,,Mike Binder,124
641,,David Lynch,112
642,Karel Michal,Zdeněk Podskalský st.,91
643,,José Padilha,116
644,,Vladimír Slavínský,98
645,,Woo-ping Yuen,107
646,Larry McMurtry,James L. Brooks,132
647,,Asghar Farhadi,120
648,,Tomm Moore,75
649,,Stanley Donen,113
650,,Jim Jarmusch,107
651,,John Woo,136
652,,Emir Kusturica,142
653,,Charles Jarrott,145
654,,André Cayatte,105
655,,Robert Bresson,99
656,Masamune Širó,Kendži Kamijama,105
657,Marcel Pagnol,Yves Robert,98
